legacy_project_id,legacy_parent_id,name,short_name,project_environment,legacy_company_id,legacy_company_name,legacy_specialty_type_id,specialty_type_name,legacy_price_method,business_nature,detail_address,project_profile,project_area,legacy_is_shared_base,legacy_sort,legacy_attachment_ref,project_overview,legacy_project_nature,legacy_is_material_library,other_system_id,other_system_code
204822a6a35f4e76963dbeec9c3240d3,10287,中央公园西一游客服务中心工程项目,,正式项目,141,四川保盛建设集团有限公司,5960001,劳务工程,1,联营,,,,0,136,d3afcbada9854409ba6f34bb22252478,,,,109821,16982986222720000
2065db3e97a8409f9a30f027c2c1553e,10487,苍溪县2020年高标准农田建设（施工六）,,正式项目,1,四川保盛建设集团有限公司,9420001,农田水利,1,联营,,,,0,295,2bc42e9834324d03a135ce9ff177580b,,,,109699,16982985763670001
208e534eab2d47c6b23bd0576523922c,,成渝双城经济圈川渝高竹新区制造产业园及配套基础设施建设项目(二期)-L4-E线道路及配套工程－路缘石,,,1,四川保盛建设集团有限公司,400001,市政工程,1,联营,,,,0,,bfc80d0598f548e6220e454a5b1ad0a3,,,,111746,17012512652980000
21038f8a911b4a90938a58c8e36caa86,10383,会理县外北乡兴荣村三、四组道路硬化工程二标段,,正式项目,141,四川保盛建设集团有限公司,3220001,公路交通,1,联营,,,,0,198,18197e9b9aa9462f87c117f6fcac26d9,,,,109762,16982986149130000
211003ff687e41d2a4bc46c78036f640,17101246108580000,中国电信泸州分公司2024-2026年房屋装修、维修服务项目,,,1,四川保盛建设集团有限公司,420001,装修装饰,1,联营,,,,0,,9e1ebdb0f067584379122691baf99fbb,,,,142339,17104040967970000
211a1be6b5ee4d6c830d2cf06378107b,10819,德阳凯州新城检验检测创新产业园建设项目-实验室装修项目,,正式项目,1,四川保盛建设集团有限公司,420001,装修装饰,0,联营,,,,0,624,248e088b3a1242b7a4e7a451d3bccdc4,,,,109417,16982984824150001
212cf7a3248c48e68bc3f4a24383536a,10848,长虹金嶺1号项目二期高层外墙装饰工程（二标段）,,正式项目,1,四川保盛建设集团有限公司,420001,装修装饰,0,联营,,,,0,653,c235545696c649eda481bd2db3ab290c,,,,109392,16982984790870001
215041536acd48be89b14758cd923649,10864,欧麓花园入口地面维修,,正式项目,1,四川保盛建设集团有限公司,400001,市政工程,0,联营,,,,0,669,a5056271beae4bccb8d18877c940ff97,,,,109376,16982984771020001
21959dda2000462c95b82b966657b312,17350285074760000,重庆电子科技职业大学应急与抢险工程,,,570,保盛重庆分公司,390001,房建工程,0,联营,,,,0,,05b57ee31f107e0e6ed4fb206e1a16f4,,,,191773,17366521186400000
2201ed763b854099b6c8f9f72cd6bb5b,10598,都兰县香日德镇移民灌区农业水价综合改革,,正式项目,1,四川保盛建设集团有限公司,10730001,水利水电工程,1,联营,,,,0,406,2653f85eb2274013a055445f57ff79f5,,,,109597,16982985632570001
22aa38f6dc0c44649d0a397653bce651,17240309386710000,喀什地区塔什库尔干县生活垃圾分类收运及处置建设项目工程总承包第三标段,,,565,保盛新疆分公司,10890001,电力工程,0,联营,,,,0,,c48b8c3bb22a9e5022a875719d736828,,,,178234,17240309431870000
23aa1343ca99440abf7bd7315fd60c6a,10777,中核中原建设 2022-2023 年度华北、西北区域脚手架专业分包框架协议,,正式项目,1,四川保盛建设集团有限公司,10760001,专业分包,1,联营,,,,0,582,84fa23593201400d98caf67b5e17e770,,,,109451,16982984865860000
