source_table,legacy_record_id,project_name,other_system_id,company_id,fact_family,amount_total
T_FK_Supplier,00470ff159f84b7bb8a2544d88a48f9b,四川晟博通达商贸有限公司,SCBS:BASE_SYSTEM_PROJECT:306434aba43f4128b4ab6d8a6b289674,,payment,80
T_FK_Supplier,0053c24a7fd546108d98a6bd3fa088bc,四川鑫垚建筑劳务有限公司,SCBS:BASE_SYSTEM_PROJECT:b8bc05aace5149f2af36878e9c030f4c,,payment,74016
T_FK_Supplier,007dc6565cd04fdc8e65b683d74d3f41,德阳市博众建材销售有限公司,SCBS:BASE_SYSTEM_PROJECT:88ca50467a784725aa4b42467b549e21,,payment,360000
T_FK_Supplier,00a019906c034168bdebde655ea8f705,四川宏政嘉斯建筑工程有限公司,SCBS:BASE_SYSTEM_PROJECT:ad4866a0a8a24b629a87165d98be5948,,payment,29034.57
T_FK_Supplier,00a46f1e69ac43eea14baebc0bda1a78,德阳泰诚硕商贸有限公司,SCBS:BASE_SYSTEM_PROJECT:95f1fe93331842488d5469ad771a1543,,payment,4.5
T_FK_Supplier,01161a8d56534d70aae50ed16fa027ef,四川迈投建筑工程有限公司,SCBS:BASE_SYSTEM_PROJECT:547603a871bd42c5b19681683626a314,,payment,-40000
T_FK_Supplier,0122ca4950fc442695f53f756d3354d5,四川晟博通达商贸有限公司,SCBS:BASE_SYSTEM_PROJECT:306434aba43f4128b4ab6d8a6b289674,,payment,31
T_FK_Supplier,01a898213d444e4b844da6aa80e10454,四川世旺鑫润商贸有限公司,SCBS:BASE_SYSTEM_PROJECT:af1d4b6f50504cfd9c6b0b13065fecff,,payment,4.5
T_FK_Supplier,01cd4fc412664c87a44685ad5e8c0482,德阳泰诚硕商贸有限公司,SCBS:BASE_SYSTEM_PROJECT:95f1fe93331842488d5469ad771a1543,,payment,13.5
T_FK_Supplier,01e024616d8f49cb8a680d6069a5a3cb,四川世旺鑫润商贸有限公司,SCBS:BASE_SYSTEM_PROJECT:af1d4b6f50504cfd9c6b0b13065fecff,,payment,25067.1
T_FK_Supplier,01eb813f9082491ea0739c6556d3dc74,四川鑫垚建筑劳务有限公司,SCBS:BASE_SYSTEM_PROJECT:b8bc05aace5149f2af36878e9c030f4c,,payment,351
T_FK_Supplier,01f5f7ab3e8e4199927180c141b9da66,四川世旺鑫润商贸有限公司,SCBS:BASE_SYSTEM_PROJECT:af1d4b6f50504cfd9c6b0b13065fecff,,payment,2069.2
T_FK_Supplier,021b9711348c4f1ab69f140352b823c7,四川翔驰恒瑞商贸有限公司,SCBS:BASE_SYSTEM_PROJECT:fa8bdd0d90aa4585bf8c27011d01b6d5,,payment,4.5
T_FK_Supplier,02586e0ba3984bccadceef3317f1e269,德阳泰诚硕商贸有限公司,SCBS:BASE_SYSTEM_PROJECT:95f1fe93331842488d5469ad771a1543,,payment,5000
T_FK_Supplier,02c0c565f23741b09a1e3a4f44d386bd,四川翔驰恒瑞商贸有限公司,SCBS:BASE_SYSTEM_PROJECT:fa8bdd0d90aa4585bf8c27011d01b6d5,,payment,408170
T_FK_Supplier,02c14c53f9be450196c003b9fa65dd58,德阳市博众建材销售有限公司,SCBS:BASE_SYSTEM_PROJECT:88ca50467a784725aa4b42467b549e21,,payment,-500000
T_FK_Supplier,030a1845d2c94e28b0d9a3e1647a33d5,四川迈投建筑工程有限公司,SCBS:BASE_SYSTEM_PROJECT:547603a871bd42c5b19681683626a314,,payment,6201
