contract_id,legacy_contract_id,legacy_project_id,project_id,project_name,partner_id,partner_name,name,subject,type,state,legacy_contract_no,legacy_document_no,legacy_external_contract_no,legacy_status,legacy_deleted_flag,legacy_counterparty_text,line_count,is_locked
1026,b4dd2bc7f8444332bce81690eefdecec,765cd5c4cb9a494187d25185290c4027,2467,洪安镇土门村杂柑基地改造提升项目,4511,成都市龙泉驿区洪安镇人民政府,CONIN2600989,洪安镇土门村杂柑基地改造提升项目,out,draft,CDS2020-49,WBHTGL-20201203-003,1000000301,2,,成都市龙泉驿区洪安镇人民政府,0,False
1027,b4e45b10cf62470181308225bec4c67d,ec8e6e03ff4c40cfb4ce25cdddc7474e,2813,向东工程,5871,德阳市供水安装工程队,CONIN2600990,四川曜凯房地产开发经营有限责任公司云境.悦府新建户表工程,out,draft,DYS2024-221,WBHTGL-20241010-002,17285468034650000,2,0,德阳市供水安装工程队,0,False
1028,b531fba76fa64dbcb25f3825abe5bfbe,782bebc32a78434cb3c72045d0771fda,2476,旌阳印象森林餐厅零星维修工程,5835,四川昌意兴建筑劳务有限公司,CONIN2600991,旌阳印象森林餐厅零星维修工程,out,draft,DYS2024-34,WBHTGL-20240129-001,17065087309500000,2,0,四川昌意兴建筑劳务有限公司,0,False
1029,b5762fabdc4a4fbaaa25161e9af3ef1b,9ebba094a48443a39dd7e1421da8dfbb,2588,刘伟零星工程项目,3956,四川新力葆房地产集团有限公司,CONIN2600992,四川新力葆房地产集团有限公司食堂燃气报警系统安装工程,out,draft,DYS2023-01-1,WBHTGL-20230103-001,1000000854,2,,四川新力葆房地产集团有限公司,0,False
1030,b6289e0eeb014e809f0eb11da4ad33cb,ec8e6e03ff4c40cfb4ce25cdddc7474e,2813,向东工程,5871,德阳市供水安装工程队,CONIN2600993,旌阳派出所分户工程,out,draft,DYS2024-184,WBHTGL-20240923-034,17270607022780000,2,0,德阳市供水安装工程队,0,False
1031,b665a0083788441aae7341c6f6e2fcc1,ec8e6e03ff4c40cfb4ce25cdddc7474e,2813,向东工程,5871,德阳市供水安装工程队,CONIN2600994,四川云上天府科技有限公司新建总表工程,out,draft,DYS2024-201,WBHTGL-20240923-052,17270746473720000,2,0,德阳市供水安装工程队,0,False
1032,b6ad1a4dbd944b11b20a3b17b2023af0,83bc85cab5f64cbe91486de3d1d46045,2515,华系田园猪”生产技术集成示范与应用项目——2024年华系田园猪舍采购(包1：应用示范一),4725,生猪技术创新中心(重庆),CONIN2600995,“华系田园猪”生产技术集成示范与应用项目 ——2024年华系田园猪舍采购（包1：应用示范一）,out,draft,CQS2025-29,WBHTGL-20250304-002,17410783838110000,2,0,生猪技术创新中心（重庆）,0,False
1033,b719027287d84eaf8ca4e9167dc76ad9,6b4e37cd90a94055a69de211efdab846,2444,易静工程（德阳二重工程项目）,3664,中国第二重型机械集团德阳万路运业有限公司,CONIN2600996,供应链分公司综合加工厂渣场清灰,out,draft,DYS2025-172,WBHTGL-20251013-002,17603368607890000,2,0,中国第二重型机械集团德阳万路运业有限公司,0,False
1034,b722974fd1ce43d9a7df2caabda33b8a,6b4e37cd90a94055a69de211efdab846,2444,易静工程（德阳二重工程项目）,3663,中国第二重型机械集团德阳万航模锻有限责任公司,CONIN2600997,模锻厂老旧电器柜改造项目,out,draft,DYS2022-51-1,WBHTGL-20220711-001,1000000685,2,0,中国第二重型机械集团德阳万航模锻有限责任公司,0,False
1035,b77e547f6b28420aa8217deecfd55ea9,b7f07bc4b72c4cd29b5d1b445b499386,2661,工程学院零星项目,3935,四川工程职业技术学院,CONIN2600998,五教西面广场铺装维修项目,out,draft,DYS2021-13-22,WBHTGL-20211102-002,1000000529,2,,四川工程职业技术学院,0,False
