external_id,legacy_payment_request_id,name,ledger_amount,actual_outflow_count,actual_outflow_amount,sample_downstream_external_ids,target_state,target_validation_status,business_fact
legacy_outflow_sc_01b7e9edd5df4199b0f65e6d726e235b,5439,PRQ2605439,16700.00,1,16700.00,legacy_actual_outflow_sc_ea8ee8fb6bb046608cf612e8cb86a23a,done,validated,historical_paid_by_downstream_business_fact
legacy_outflow_sc_01be5cb6656f4671b60ba25a1e1d7f96,5440,PRQ2605440,26257.00,1,26257.00,legacy_actual_outflow_sc_c1d4c32f5916411694d11f3b61cb47b2,done,validated,historical_paid_by_downstream_business_fact
legacy_outflow_sc_01c1776aa5594838bfe1506c03495a1a,5441,PRQ2605441,702.30,1,702.30,legacy_actual_outflow_sc_832ce6eda550496abbc357a1f21bb22a,done,validated,historical_paid_by_downstream_business_fact
legacy_outflow_sc_01c9dea29af74ff49e6ef934226a41c8,5442,PRQ2605442,32335.60,1,32335.60,legacy_actual_outflow_sc_84a2f6d76cb64e70aa8fbf74ca676d02,done,validated,historical_paid_by_downstream_business_fact
legacy_outflow_sc_01d1ee0138fb41c6a04ff63bc5dc8f12,5443,PRQ2605443,150000.00,1,150000.00,legacy_actual_outflow_sc_ed65c219bb384705ac199deae81dae2a,done,validated,historical_paid_by_downstream_business_fact
legacy_outflow_sc_01d467ccd0b841fc94b7a27a2a05de2e,5444,PRQ2605444,1040000.00,1,1040000.00,legacy_actual_outflow_sc_8e69ff4f500b4244ba23b4811475dc9e,done,validated,historical_paid_by_downstream_business_fact
legacy_outflow_sc_01dca46926d0439b831aa5d0c47256fa,5445,PRQ2605445,99600.00,1,99600.00,legacy_actual_outflow_sc_22036c64eb674baba1577a2c94e3ef95,done,validated,historical_paid_by_downstream_business_fact
legacy_outflow_sc_01dd43ca0f7047a5a0b4537b5791e33a,5446,PRQ2605446,8076.74,1,8076.74,legacy_actual_outflow_sc_f4fe3f91238e439998339b24711468cc,done,validated,historical_paid_by_downstream_business_fact
legacy_outflow_sc_01e3a998debd4718a629a5c1df5333de,5447,PRQ2605447,40000.00,1,40000.00,legacy_actual_outflow_sc_5742df8ce6764bd6be135d0ce3d42666,done,validated,historical_paid_by_downstream_business_fact
legacy_outflow_sc_01edb7fc07314eb4a14e5d730db2677f,5448,PRQ2605448,600000.00,1,600000.00,legacy_actual_outflow_sc_ffca4c6d52444ba8b3cfa893a291672a,done,validated,historical_paid_by_downstream_business_fact
legacy_outflow_sc_01edcc2ae9494ab9b632deb70473d101,5449,PRQ2605449,7650.00,1,7650.00,legacy_actual_outflow_sc_761fc154b9324e859f2e92fa88c92d76,done,validated,historical_paid_by_downstream_business_fact
legacy_outflow_sc_01fbea6ed1bf4b2e9fba2d3188720ce8,5450,PRQ2605450,5840.00,1,5840.00,legacy_actual_outflow_sc_22366d8234a047e295e7af74e4317245,done,validated,historical_paid_by_downstream_business_fact
legacy_outflow_sc_01fcf727e09b4490a7b9be8a0898605d,5451,PRQ2605451,90000.00,1,90000.00,legacy_actual_outflow_sc_dcd229db9f5046a1938f37b3b833509f,done,validated,historical_paid_by_downstream_business_fact
