counterparty_text,normalized_name,contract_rows,match_type,recommended_action,manual_confirm_required,auto_create_allowed,existing_partner_hint,company_candidate_count,supplier_candidate_count,source,source_id,source_name,source_short_name,source_code,source_address,source_contact,source_phone,confirm_result,confirmed_partner_action,confirmed_source,confirmed_source_id,review_note
德阳市潺亭水务有限公司,德阳市潺亭水务,3,company_multiple,manual_select_company_candidate,yes,no,no,2,0,company,906d8d2007a5412fa25e9b3b8fa72089,德阳市潺亭水务有限公司,,,,,,,,,,
四川建设发展股份有限公司,四川建设发展,3,company_multiple,manual_select_company_candidate,yes,no,no,2,0,company,dc6823036dd74bd88c5610fb86e64fff,四川建设发展股份有限公司,,,,,,,,,,
国网四川省电力公司德阳供电公司工会委员会,国网四川省电力公司德阳供电公司工会委员会,3,company_single,manual_confirm_company_candidate,yes,no,no,1,0,company,94AAE0796DCA4E50B655986B6F69161F,国网四川省电力公司德阳供电公司工会委员会,,,,,,,,,,
成都市郫都区人民政府安德街道办事处,成都市郫都区人民政府安德街道办事处,2,company_single,manual_confirm_company_candidate,yes,no,no,1,0,company,89378D9C8861488783344CFCB5E7392A,成都市郫都区人民政府安德街道办事处,,,,,,,,,,
邛崃格润能源有限公司,邛崃格润能源,2,company_single,manual_confirm_company_candidate,yes,no,no,1,0,company,0DC4BA86C79C4076A9A2C8C4BA5E8D4D,邛崃格润能源有限公司,,,,,,,,,,
中铁八局集团有限公司,中铁八局,2,company_multiple,manual_select_company_candidate,yes,no,no,2,0,company,cad3f759f4af431f8ce71376bb40cc69,中铁八局集团有限公司,,,,,,,,,,
眉山环天水务有限公司,眉山环天水务,2,company_single,manual_confirm_company_candidate,yes,no,no,1,0,company,41325F7AB958423BBAF1A110DD4BA177,眉山环天水务有限公司,,,,,,,,,,
德阳市人民政府办公室,德阳市人民政府办公室,2,company_single,manual_confirm_company_candidate,yes,no,no,1,0,company,cd8ce354a88e4fe2a7a864928f8735cd,德阳市人民政府办公室,,,,,,,,,,
米易龙信房地产开发有限责任公司,米易龙信房地产开发,2,company_single,manual_confirm_company_candidate,yes,no,no,1,0,company,C6421AAE919F46AF922232E140161FCD,米易龙信房地产开发有限责任公司,,,,,,,,,,
重庆市渝北区新桥水库管理所,重庆市渝北区新桥水库管理所,2,company_single,manual_confirm_company_candidate,yes,no,no,1,0,company,622EF07F6C614B7C8ED59D926CF0BA44,重庆市渝北区新桥水库管理所,,,,,,,,,,
中国建筑第六工程局有限公司,中国建筑第六工程局,2,company_multiple,manual_select_company_candidate,yes,no,no,2,0,company,4e1beb51a1024c5381a64cc72dcb47df,中国建筑第六工程局有限公司,,,,,,,,,,
中国航发成都发动机有限公司,中国航发成都发动机,2,company_single,manual_confirm_company_candidate,yes,no,no,1,0,company,c10a75642ff44c29b304138e5c89b513,中国航发成都发动机有限公司,,,,,,,,,,
四川洋洋商业管理有限公司,四川洋洋商业管理,2,company_single,manual_confirm_company_candidate,yes,no,no,1,0,company,65da8e6241ce44ebb86ffb9dc73db094,四川洋洋商业管理有限公司,,,,,,,,,,
四川宏大建筑工程有限公司,四川宏大建筑工程,2,company_single,manual_confirm_company_candidate,yes,no,no,1,0,company,B17ADBE7062041959703E9961E4FBD9A,四川宏大建筑工程有限公司,,,,,,,,,,
德阳市天韵文化发展有限公司天韵酒店,德阳市天韵文化发展有限公司天韵酒店,2,cross_source_conflict,manual_confirm_source,yes,no,no,3,1,company,43F30D4FB38B48E3BFAA06EE7A59328F,德阳市天韵文化发展有限公司天韵酒店,,,,,,,,,,
西藏华泰龙矿业开发有限公司,西藏华泰龙矿业开发,2,company_multiple,manual_select_company_candidate,yes,no,no,2,0,company,7F4298A2A35C45B4B072A67FC9AA8609,西藏华泰龙矿业开发有限公司,,,,,,,,,,
德阳市罗江区公路建设养护所,德阳市罗江区公路建设养护所,2,company_single,manual_confirm_company_candidate,yes,no,no,1,0,company,3698c87c05c7474aaced71187e3da397,德阳市罗江区公路建设养护所,,,,,,,,,,
成都建工第一建筑工程有限公司,成都建工第一建筑工程,2,company_single,manual_confirm_company_candidate,yes,no,no,1,0,company,863d91062db340cd998c6b3f93850050,成都建工第一建筑工程有限公司,,,,,,,,,,
甘肃龙江电力有限责任公司,甘肃龙江电力,2,company_single,manual_confirm_company_candidate,yes,no,no,1,0,company,a29b73db6fb640618befff9cd5ff3f63,甘肃龙江电力有限责任公司,,,,,,,,,,
中建三局集团有限公司,中建三局,2,company_single,manual_confirm_company_candidate,yes,no,no,1,0,company,9e78e723b0d246369e29f3f243345d5f,中建三局集团有限公司,,,,,,,,,,
重庆市铜梁区二坪镇人民政府,重庆市铜梁区二坪镇人民政府,2,company_single,manual_confirm_company_candidate,yes,no,no,1,0,company,8A3E2F0D1A8F439292E68E84738AF155,重庆市铜梁区二坪镇人民政府,,,,,,,,,,
四川三盛环保科技有限公司,四川三盛环保科技,2,company_single,manual_confirm_company_candidate,yes,no,no,1,0,company,96540ef257254b7ca5c2a4f4e244eabf,四川三盛环保科技有限公司,,,,,,,,,,
北京信博云控科技发展有限公司,北京信博云控科技发展,2,company_single,manual_confirm_company_candidate,yes,no,no,1,0,company,16e48bcf7df640779266854c92999372,北京信博云控科技发展有限公司,,,,,,,,,,
德阳市罗江区住房和城乡建设局,德阳市罗江区住房和城乡建设局,2,company_single,manual_confirm_company_candidate,yes,no,no,1,0,company,7706DF8AD0904E2982954E17031E2368,德阳市罗江区住房和城乡建设局,,,,,,,,,,
重庆农村商业银行股份有限公司,重庆农村商业银行,2,company_single,manual_confirm_company_candidate,yes,no,no,1,0,company,08b38009171b46eab7ea0282000bf16f,重庆农村商业银行股份有限公司,,,,,,,,,,
伟宸建设集团有限公司,伟宸建设,2,company_multiple,manual_select_company_candidate,yes,no,no,2,0,company,8B453C7C19D94FCA9DD428C5BB216A0F,伟宸建设集团有限公司,,,,,,,,,,
新疆喀什电盛有限责任公司,新疆喀什电盛,2,company_single,manual_confirm_company_candidate,yes,no,no,1,0,company,a2da464f15f14648bbc59f71edcda375,新疆喀什电盛有限责任公司,,,,,,,,,,
安徽电气集团股份有限公司,安徽电气集团,2,company_single,manual_confirm_company_candidate,yes,no,no,1,0,company,c98bacd1fd324157919bfff214863a68,安徽电气集团股份有限公司,,,,,,,,,,
中建三局集团（德阳）有限公司,中建三局集团德阳,2,company_single,manual_confirm_company_candidate,yes,no,no,1,0,company,20a228b3c7da4c919cbe21c2aaf566d2,中建三局集团（德阳）有限公司,,,,,,,,,,
德阳第六人民医院（东汽医院）,德阳第六人民医院东汽医院,2,company_single,manual_confirm_company_candidate,yes,no,no,1,0,company,2867D261391E4F13ACBA24E9E35B0852,德阳第六人民医院（东汽医院）,,,,,,,,,,
德阳宏泰盛源实业有限公司,德阳宏泰盛源实业,2,company_single,manual_confirm_company_candidate,yes,no,no,1,0,company,02d21d9e43a047489db27a026c15e091,德阳宏泰盛源实业有限公司,,,,,,,,,,
德阳市青少年宫,德阳市青少年宫,2,company_single,manual_confirm_company_candidate,yes,no,no,1,0,company,82aef4d7acb341caaed0657e9f806791,德阳市青少年宫,,,,,,,,,,
四川库伦电气有限公司,四川库伦电气,2,company_single,manual_confirm_company_candidate,yes,no,no,1,0,company,773E88C0B774452592F6B68AD23B6294,四川库伦电气有限公司,,,,,,,,,,
广汉市城乡建设发展有限公司,广汉市城乡建设发展,2,company_single,manual_confirm_company_candidate,yes,no,no,1,0,company,CB4AAAC8842546F1893514E6B1B96FA8,广汉市城乡建设发展有限公司,,,,,,,,,,
广元市朝天区沙河镇人民政府,广元市朝天区沙河镇人民政府,2,company_single,manual_confirm_company_candidate,yes,no,no,1,0,company,078A0ED6585341779F27890B42AEACFB,广元市朝天区沙河镇人民政府,,,,,,,,,,
深圳友唱技术有限公司,深圳友唱技术,2,defer,manual_supply_partner_candidate,yes,no,no,0,0,,,,,,,,,,,,,
德阳市旌阳区黄许镇卫生院,德阳市旌阳区黄许镇卫生院,2,company_single,manual_confirm_company_candidate,yes,no,no,1,0,company,99349CBADF61422A80D5B0B2CCC5E9AD,德阳市旌阳区黄许镇卫生院,,111,,,,,,,,
中建四局建设发展有限公司,中建四局建设发展,2,defer,manual_supply_partner_candidate,yes,no,no,0,0,,,,,,,,,,,,,
伽师工业园区管理委员会,伽师工业园区管理委员会,2,company_single,manual_confirm_company_candidate,yes,no,no,1,0,company,8251bbafb5bf43cdbbd284d8d8b05635,伽师工业园区管理委员会,,1111,,,,,,,,
国营川西机器厂,国营川西机器厂,2,company_multiple,manual_select_company_candidate,yes,no,no,2,0,company,0c444d6b8bb246ecbc16e4890debf4ca,国营川西机器厂,,,,,,,,,,
德阳市罗江区白马关镇人民政府,德阳市罗江区白马关镇人民政府,2,company_single,manual_confirm_company_candidate,yes,no,no,1,0,company,3C18E5599CE144FAB8690930FE9F01D8,德阳市罗江区白马关镇人民政府,,,,,,,,,,
重庆市璧山区人民政府璧泉街道办事处,重庆市璧山区人民政府璧泉街道办事处,2,company_single,manual_confirm_company_candidate,yes,no,no,1,0,company,7209db88639b4b489b570126cc09e368,重庆市璧山区人民政府璧泉街道办事处,,,,,,,,,,
绵阳皓华光电科技有限公司,绵阳皓华光电科技,2,company_multiple,manual_select_company_candidate,yes,no,no,2,0,company,70A1F8FE03E64D5AACF64A63C5B5D68A,绵阳皓华光电科技有限公司,,,,,,,,,,
德阳市罗江区鄢家镇人民政府,德阳市罗江区鄢家镇人民政府,2,company_single,manual_confirm_company_candidate,yes,no,no,1,0,company,2e347921a67b4bf1b7465794177091b1,德阳市罗江区鄢家镇人民政府,,,,,,,,,,
