coverage_state,legacy_material_id,material_name,spec_model,uom_text,line_rows,header_rows,qty,amount,target_material_catalog_id,target_catalog_name,target_spec_model,target_uom_text,exact_text_catalog_id,exact_text_match_count,name_spec_catalog_id,name_spec_match_count,has_promoted_product
catalog_ready_by_legacy_id,d68fae4566ea46318afbd1905bea5b1a,胶合板（建筑模板）,1830*915*12,张,12,12,10000.0000,378000.00,6840699,胶合板（建筑模板）,1830*915*12,张,6840699,1,6840699,1,no
catalog_ready_by_legacy_id,42663711adb940dcbe9306ffc090298b,铜芯电缆YJV5*120,,米,1,1,894.2100,360000.00,6840700,铜芯电缆YJV5*120,,米,6840700,1,6840700,1,no
catalog_ready_by_legacy_id,bb9d830edf92476dbc824ac2f07bb98f,沥青混凝土,AC-13C,立方米,1,1,297.9600,339993.22,6840701,沥青混凝土,AC-13C,立方米,6840701,1,6840701,1,no
catalog_ready_by_legacy_id,dbbd23881fe54b7782ceb349218d6620,毛条石,500mm~800mm,m3,2,2,2113.0000,337009.00,6840702,毛条石,500mm~800mm,m3,6840702,1,6840702,1,no
catalog_ready_by_legacy_id,a3e97b0639ed40dbb05a14624294f246,螺纹钢HRB400E,18,吨,4,4,92.2177,330990.50,6840703,螺纹钢HRB400E,18,吨,6840703,1,6840703,1,no
catalog_ready_by_legacy_id,79b47659423a4a229068e86103820754,螺纹钢,HRB400E 22,吨,3,3,82.4010,313484.24,6840704,螺纹钢,HRB400E 22,吨,6840704,1,6840704,1,no
catalog_ready_by_legacy_id,640b03c70a204807bfa1ddd9ebdb166a,商品水稳层,5%,吨,1,1,2602.2350,302900.15,6840705,商品水稳层,5%,吨,6840705,1,6840705,1,no
catalog_ready_by_legacy_id,60d5bf2f888e4908a5b56ae0a553e801,商品水稳层,4%,吨,1,1,2602.2350,302900.15,6840706,商品水稳层,4%,吨,6840706,1,6840706,1,no
catalog_ready_by_legacy_id,6fef288ead32418aa24d7d3aa5f8679e,商品混凝土,C20透水,m3,2,2,546.3000,289836.00,6840707,商品混凝土,C20透水,m3,6840707,1,6840707,1,no
catalog_ready_by_legacy_id,b396169b14ba4131a0d02920b2ff8bd0,LED教室灯,1195*295*57mm   XTJQ3012-36N/T,,1,1,405.0000,286740.00,6840708,LED教室灯,1195*295*57mm   XTJQ3012-36N/T,,6840708,1,6840708,1,no
catalog_candidate_name_spec,1ef8c0761f2340998bb18c50781b00d8,机制碎石,,m3,2,2,1905.7500,284400.00,,,,,,0,2201381,1,no
catalog_ready_by_legacy_id,04ad3b0223994cb5b2002bda62191477,仿花岗石盲道pc砖,300*600*50,平方,2,2,3540.0000,276120.00,6840709,仿花岗石盲道pc砖,300*600*50,平方,6840709,1,6840709,1,no
catalog_candidate_name_spec,4499e6f0577a4c239a13289f92f92200,机制砂,,吨,2,2,4307.7500,275696.00,,,,,,0,1214395,119,no
catalog_ready_by_legacy_id,cf520000401d482a92370762c21aba04,钢带缠绕管,DN1600  SN10,米,1,1,210.0000,274890.00,6840710,钢带缠绕管,DN1600  SN10,米,6840710,1,6840710,1,no
catalog_ready_by_legacy_id,79f0c10f12bc442188f0bcae6711dbb0,CPVC管,φ200,m,1,1,4200.0000,270627.84,6840711,CPVC管,φ200,m,6840711,1,6840711,1,no
catalog_ready_by_legacy_id,1bd3d6f1b22b409e860323db0a9ad430,芝麻灰花岗石路沿石,900*300*150,米,1,1,3000.0000,270000.00,6840712,芝麻灰花岗石路沿石,900*300*150,米,6840712,1,6840712,1,no
catalog_ready_by_legacy_id,fdc23934533f47909039feac328f372a,商砼,C20,m3,3,3,580.0000,269700.00,6840713,商砼,C20,m3,6840713,1,6840713,1,no
catalog_ready_by_legacy_id,076464c55e8a475ea13911e1120552d6,PVC-C,φ200*10mmSN≥8,m,3,3,4051.0000,265041.45,6840714,PVC-C,φ200*10mmSN≥8,m,6840714,1,6840714,1,no
catalog_ready_by_legacy_id,fc1203fdeabb4f7fb2d30a7051504cd8,商品混凝土,C40P6,m3,3,3,622.0000,261520.65,6840715,商品混凝土,C40P6,m3,6840715,1,6840715,1,no
catalog_candidate_name_spec,c58d9c8fb8b246d8871efc157ed624a6,板材,,批,1,1,188.3968,259987.60,,,,,,0,19261,458,no
catalog_ready_by_legacy_id,b3ee27725ba641d7b4820911d72c4dc6,螺纹钢HRB400E,12,吨,8,8,68.5982,254801.32,6840716,螺纹钢HRB400E,12,吨,6840716,1,6840716,1,no
catalog_candidate_name_spec,3a96749dd67f4bf4b7a1c9d0db110401,黄金麻,,M2,1,1,1351.3513,250000.00,,,,,,0,1711977,1,no
catalog_ready_by_legacy_id,ffb2811d7b2a4a0e9f40793e88f9ba97,花岗石人行道板芝麻灰烧面,30x60x5,平方米,2,2,2348.9400,249289.78,6840717,花岗石人行道板芝麻灰烧面,30x60x5,平方米,6840717,1,6840717,1,no
catalog_ready_by_legacy_id,6fb7c5bab39a4b03b13e150e72d5e764,综合排管,DN125*4.5mm 热镀锌钢管,m,2,2,2964.0000,246984.19,6840718,综合排管,DN125*4.5mm 热镀锌钢管,m,6840718,1,6840718,1,no
catalog_ready_by_legacy_id,74aeb280d6054abcb88a34065df8440a,无缝钢管,168*8,吨,1,1,52.0660,246792.84,6840719,无缝钢管,168*8,吨,6840719,1,6840719,1,no
catalog_ready_by_legacy_id,99af91e664884fd2a547a0e2a9de5c1f,水泥稳定级配料,5%,吨,2,2,2112.3196,245874.00,6840720,水泥稳定级配料,5%,吨,6840720,1,6840720,1,no
catalog_ready_by_legacy_id,3f1db50ddd7f40f89aeb1d477c1d5117,SBS改性沥青混凝土,AC-13C,m3,1,1,234.3840,244474.14,6840721,SBS改性沥青混凝土,AC-13C,m3,6840721,1,6840721,1,no
catalog_ready_by_legacy_id,4951dc83d39448bc889c72778f98757c,碎石,10-30mm,吨,1,1,1430.0000,240240.00,6840722,碎石,10-30mm,吨,6840722,1,6840722,1,no
catalog_ready_by_legacy_id,311efe8a29684cf09f76ad87a48f6e87,RPF格栅盖板,,㎡,1,1,1500.0000,237300.00,6840723,RPF格栅盖板,,㎡,6840723,1,6840723,1,no
catalog_ready_by_legacy_id,316c2b1eb6a1464a9495c1546aca9640,干混抹灰砂浆,M7.5,t,3,3,600.0000,234600.00,6840724,干混抹灰砂浆,M7.5,t,6840724,1,6840724,1,no
